6.35,146.1,19.1,38.8,69.5
13,260,0,24,225
12.5,130,0,24,106
13.5,300,50,3.4,30
13.5,300,50,4,36
13.5,300,50,5.5,50
13.5,300,50,7.2,64
18,300,50,10,89
18,300,50,3.4,39
20.4,300,50,4,46
12.3,300,50,5.5,44
18.4,300,50,4,51
18,300,50,10,116.5
33.3,300,50,3.4,78.5
33.3,300,50,5.5,110.5
12.3,300,50,3.4,29.5
6.35,139.7,25.4,38.8,65.5
12.3,300,50,7.2,58
12.3,300,50,10,81
18.4,300,50,5.5,65.5
18.4,300,50,7.2,86.5
18.4,300,50,10,114
20.4,300,50,5.5,59.5
20.4,300,50,7.2,76.5
20.4,300,50,10,87
25.4,300,50,7.2,90
25.4,300,50,10,151.61
25.4,300,50,3.4,50
25.4,300,50,5.5,75
13.5,190,0,24,128
20.4,300,50,3.4,38
18.4,300,50,3.4,42.5
25.4,300,50,4,58
13,132.1,33.8,38.8,53
18,300,50,4,49
18,300,50,5.5,65
18,300,50,7.2,87
12.3,300,50,4,35
